Date,Close
9/6/2018,229.03
9/7/2018,215.21
9/8/2018,197
9/9/2018,195.91
9/10/2018,196.94
9/11/2018,185.15
9/12/2018,182.79
9/13/2018,211.39
9/14/2018,210
9/15/2018,221.69
9/16/2018,220.19
9/17/2018,195.97
9/18/2018,208.5
9/19/2018,209.81
9/20/2018,224.41
9/21/2018,247.76
9/22/2018,240.71
9/23/2018,244.35
9/24/2018,228.01
9/25/2018,219.19
9/26/2018,214.15
9/27/2018,229
9/28/2018,220.67
9/29/2018,231.01
9/30/2018,232.27
10/1/2018,230.4
10/2/2018,224.85
10/3/2018,219.01
10/4/2018,221
10/5/2018,226.89
10/6/2018,223.85
10/7/2018,224.82
10/8/2018,227.68
10/9/2018,226.15
10/10/2018,223.61
10/11/2018,188.32
10/12/2018,194.1
10/13/2018,196.72
10/14/2018,191.87
10/15/2018,204.53
10/16/2018,205.43
10/17/2018,203.21
10/18/2018,199.2
10/19/2018,200
10/20/2018,202.69
10/21/2018,202.12
10/22/2018,201.25
10/23/2018,201.12
10/24/2018,200.68
10/25/2018,199.65
10/26/2018,200.7
10/27/2018,201.46
10/28/2018,202.43
10/29/2018,194.31
10/30/2018,195.35
10/31/2018,196.95
11/1/2018,197.96
11/2/2018,199.75
11/3/2018,198.35
11/4/2018,210.06
11/5/2018,208.53
11/6/2018,218.65
11/7/2018,216.84
11/8/2018,210.34
11/9/2018,208.01
11/10/2018,210.29
11/11/2018,209.88
11/12/2018,208.77
11/13/2018,203.2
11/14/2018,177.79
11/15/2018,178.89
11/16/2018,172.4
11/17/2018,172.49
11/18/2018,175.87
11/19/2018,145.21
11/20/2018,127.55
11/21/2018,134.73
11/22/2018,123.25
11/23/2018,121.44
11/24/2018,110.16
11/25/2018,114.3
11/26/2018,106.95
11/27/2018,108.7
11/28/2018,121.94
11/29/2018,116.38
11/30/2018,111.65
12/1/2018,116.82
12/2/2018,114.76
12/3/2018,107.21
12/4/2018,108.61
12/5/2018,100.76
12/6/2018,89.09
12/7/2018,92.45
12/8/2018,89.99
12/9/2018,92.79
12/10/2018,89.23
12/11/2018,86.96
12/12/2018,89.09
12/13/2018,85.35
12/14/2018,83
12/15/2018,83.03
12/16/2018,83.74
12/17/2018,93.79
12/18/2018,101
12/19/2018,99.34
